param target := -7147;
set E := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 ;
param weight := 
  1  6012
  2  5603
  3  -3542
  4  5738
  5  -8270
  6  9219
  7  3098
  8  -9052
  9  2848
  10  -9565
  11  -6381
  12  -9458
  13  9044
  14  -4056
  15  -8872
  16  -2370
  17  -2532
  18  261
  19  6828
  20  -8132
  21  903
  22  6795
  23  6463
  24  8526
  25  9804
  26  -1375
  27  -4378
  28  -9700
  29  -2376
  30  -7290
  31  -2316
  32  -3102
  33  -5351
  34  2147
  35  -9478
  36  7374
  37  9374
  38  5065
  39  8438
  40  3221
  41  -1603
  42  -4109
  43  4394
  44  6455
  45  5948
  46  -5004
  47  4209
  48  6235
  49  -7601
  50  -3924
  51  9237
  52  -14
  53  7371
  54  -2863
  55  -3114
  56  568
  57  -2342
  58  -9407
  59  9424
  60  -237
  61  -7370
  62  726
  63  -9327
  64  -9928
  65  647
  66  -7345
  67  7414
  68  -8117
  69  -1233
  70  -4075
;
