param target := 18147;
set E := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 ;
param weight := 
  1  8010
  2  -5563
  3  5580
  4  2474
  5  8322
  6  -6431
  7  -6783
  8  8853
  9  -6520
  10  1773
  11  -3213
  12  -9676
  13  -7181
  14  6959
  15  -5535
  16  8022
  17  8357
  18  -4668
  19  -8487
  20  6899
  21  5126
  22  -7341
  23  -790
  24  -77
  25  4346
  26  6355
  27  2685
  28  -6138
  29  -919
  30  2487
  31  6454
  32  654
  33  4869
  34  -2647
  35  913
  36  7982
  37  -1095
  38  2032
  39  5677
  40  -4571
  41  -9548
  42  -9942
  43  -3660
  44  -1507
  45  2523
  46  3335
  47  -9904
  48  1703
  49  -9793
  50  9512
  51  -7366
  52  4239
  53  -5402
  54  -4853
  55  -6181
  56  6697
  57  -7067
  58  3401
  59  2874
  60  -3972
  61  -4683
  62  2371
  63  -4835
  64  -2831
  65  -3655
  66  769
  67  2108
  68  -5452
  69  -4055
  70  -8651
  71  -6606
  72  4337
  73  -2050
  74  -724
  75  -3664
  76  -720
  77  -2842
  78  2612
  79  -8864
  80  -8142
  81  -3909
  82  -4883
  83  -7309
  84  8748
  85  -8836
  86  -2229
  87  -224
  88  -278
  89  -5343
  90  -5231
;
