param target := 10;
set E := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 ;
param weight := 
  1  -9
  2  28
  3  -5
  4  -4
  5  -20
  6  -19
  7  -34
  8  21
  9  -35
  10  18
  11  4
  12  4
  13  40
  14  -22
  15  -5
  16  3
  17  -20
  18  -15
  19  -21
  20  -13
  21  -4
  22  34
  23  11
  24  -40
  25  -9
  26  -4
  27  -32
  28  -17
  29  38
  30  1
  31  -26
  32  0
  33  -8
  34  8
  35  -21
  36  -24
  37  12
  38  -36
  39  0
  40  36
  41  -27
  42  5
  43  -15
  44  -37
  45  10
;
