param target := -44;
set E := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 ;
param weight := 
  1  40
  2  8
  3  49
  4  -24
  5  -21
  6  0
  7  17
  8  43
  9  -34
  10  -10
  11  23
  12  39
  13  5
  14  -23
  15  3
  16  46
  17  21
  18  -31
  19  19
  20  -8
  21  24
  22  35
  23  -13
  24  -29
  25  -6
  26  -9
  27  32
  28  -40
  29  -8
  30  -33
  31  43
  32  4
  33  -49
  34  16
  35  10
  36  31
  37  -6
  38  -38
  39  -29
  40  -23
  41  -29
  42  -45
  43  5
  44  33
  45  -35
  46  30
  47  -43
  48  30
  49  -45
  50  -21
;
