param target := 36;
set E := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 ;
param weight := 
  1  24
  2  -30
  3  38
  4  -37
  5  13
  6  -28
  7  -38
  8  37
  9  31
  10  -19
  11  30
  12  32
  13  39
  14  -11
  15  22
  16  -2
  17  17
  18  -25
  19  17
  20  -24
  21  25
  22  35
  23  31
  24  -19
  25  -39
  26  7
  27  0
  28  11
  29  0
  30  -8
  31  31
  32  -12
  33  34
  34  36
  35  -5
  36  -29
  37  -28
  38  -14
  39  35
  40  9
;
